#{"t_start": 1693773786.888829, "env_id": "None"}
r,l,t
0.0,1,0.01737
0.0,1,0.019344
0.0,1,0.021308
0.0,1,0.023181
0.0,1,0.072118
0.0,1,0.074849
0.0,1,0.077048
0.0,1,0.079294
0.0,1,0.081946
0.0,1,0.084058
0.0,1,0.086163
0.0,1,0.08817
0.0,1,0.090238
0.0,1,0.092199
0.0,1,0.094184
0.0,1,0.096217
0.0,1,0.098301
0.0,1,0.100211
0.0,1,0.102109
0.0,1,0.103989
0.0,1,0.105956
0.0,1,0.107844
0.0,1,0.109753
0.0,1,0.11164
0.0,1,0.113627
0.0,1,0.115512
0.0,1,0.117384
0.0,1,0.119269
0.0,1,0.121409
0.0,1,0.123358
0.0,1,0.125211
0.0,1,0.127123
0.0,1,0.129207
0.0,1,0.131044
0.0,1,0.132873
0.0,1,0.13469
0.0,1,0.136586
0.0,1,0.138407
0.0,1,0.140208
0.0,1,0.142037
0.0,1,0.144004
0.0,1,0.145898
0.0,1,0.147776
0.0,1,0.149597
0.0,1,0.151523
0.0,1,0.15338
0.0,1,0.155204
0.0,1,0.157022
0.0,1,0.158938
0.0,1,0.160879
0.0,1,0.162865
0.0,1,0.164735
0.0,1,0.16666
0.0,1,0.168521
0.0,1,0.170343
0.0,1,0.172172
0.0,1,0.174075
0.0,1,0.175929
0.0,1,0.177874
0.0,1,0.17982
0.0,1,0.181794
0.0,1,0.183662
0.0,1,0.185519
0.0,1,0.187339
0.0,1,0.189267
0.0,1,0.191082
0.0,1,0.19303
0.0,1,0.195011
0.0,1,0.197008
0.0,1,0.198832
0.0,1,0.200683
0.0,1,0.202561
0.0,1,0.204499
0.0,1,0.206371
0.0,1,0.208253
0.0,1,0.210151
0.0,1,0.212264
0.0,1,0.214243
0.0,1,0.216069
0.0,1,0.217893
0.0,1,0.219808
0.0,1,0.221614
0.0,1,0.22343
0.0,1,0.225266
0.0,1,0.227252
0.0,1,0.229185
0.0,1,0.231019
0.0,1,0.232842
0.0,1,0.234764
0.0,1,0.236584
0.0,1,0.238413
0.0,1,0.240244
0.0,1,0.242169
0.0,1,0.244078
0.0,1,0.246027
0.0,1,0.247846
0.0,1,0.249766
0.0,1,0.251608
0.0,1,0.253424
0.0,1,0.255233
0.0,1,0.269615
0.0,1,0.271567
0.0,1,0.273428
0.0,1,0.275304
0.0,1,0.27736
0.0,1,0.279284
0.0,1,0.28118
0.0,1,0.28304
0.0,1,0.284967
0.0,1,0.286799
0.0,1,0.288618
0.0,1,0.290419
0.0,1,0.292345
0.0,1,0.294254
0.0,1,0.296125
0.0,1,0.297948
0.0,1,0.299873
0.0,1,0.301688
0.0,1,0.303488
0.0,1,0.305302
0.0,1,0.307179
0.0,1,0.309042
0.0,1,0.31096
0.0,1,0.312848
0.0,1,0.31478
0.0,1,0.316608
0.0,1,0.318416
0.0,1,0.320239
0.0,1,0.322137
0.0,1,0.32394
0.0,1,0.325775
0.0,1,0.327689
0.0,1,0.329737
0.0,1,0.331568
0.0,1,0.333387
0.0,1,0.335191
0.0,1,0.337065
0.0,1,0.338891
0.0,1,0.340701
0.0,1,0.342541
0.0,1,0.344543
0.0,1,0.346442
0.0,1,0.348279
0.0,1,0.350158
0.0,1,0.35207
0.0,1,0.353896
0.0,1,0.355702
0.0,1,0.357501
0.0,1,0.35942
0.0,1,0.361351
0.0,1,0.363281
0.0,1,0.365101
0.0,1,0.367023
0.0,1,0.368818
0.0,1,0.370599
0.0,1,0.372401
0.0,1,0.3743
0.0,1,0.376217
0.0,1,0.378161
0.0,1,0.380037
0.0,1,0.381951
0.0,1,0.383764
0.0,1,0.385557
0.0,1,0.387389
0.0,1,0.389304
0.0,1,0.391114
0.0,1,0.393012
0.0,1,0.39497
0.0,1,0.396931
0.0,1,0.398747
0.0,1,0.400554
0.0,1,0.402344
0.0,1,0.404235
0.0,1,0.406072
0.0,1,0.407887
0.0,1,0.409775
0.0,1,0.411822
0.0,1,0.413677
0.0,1,0.415471
0.0,1,0.417281
0.0,1,0.419179
0.0,1,0.420994
0.0,1,0.42279
0.0,1,0.424595
0.0,1,0.426525
0.0,1,0.428463
0.0,1,0.430358
0.0,1,0.432166
0.0,1,0.434099
0.0,1,0.435917
0.0,1,0.437727
0.0,1,0.439534
0.0,1,0.441488
0.0,1,0.4434
0.0,1,0.44532
0.0,1,0.447221
0.0,1,0.44915
0.0,1,0.45097
0.0,1,0.452795
0.0,1,0.4546
0.0,1,0.457902
0.0,1,0.459855
0.0,1,0.461814
0.0,1,0.463688
0.0,1,0.465632
0.0,1,0.467469
0.0,1,0.46928
0.0,1,0.471097
0.0,1,0.472975
0.0,1,0.474796
0.0,1,0.476724
0.0,1,0.478706
0.0,1,0.480662
0.0,1,0.482488
0.0,1,0.484309
0.0,1,0.486123
0.0,1,0.48801
0.0,1,0.489824
0.0,1,0.491631
0.0,1,0.493531
0.0,1,0.495759
0.0,1,0.497601
0.0,1,0.499413
0.0,1,0.501229
0.0,1,0.503114
0.0,1,0.504935
0.0,1,0.506733
0.0,1,0.508585
0.0,1,0.510588
0.0,1,0.512511
0.0,1,0.514337
